Value Set Name,Code System,Code,Code Description,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,228515002,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,228516001,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,228517005,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,228518000,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,230059006,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,230060001,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,230062009,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,230063004,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,230064005,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,230065006,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,266920004,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,428000000000000,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,428000000000000,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,428000000000000,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,449868002,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,59978006,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,65568007,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,77176002,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,81703003,,,,,,,,,,,,,,,,
Tobacco user,SNOMEDCT,82302008,,,,,,,,,,,,,,,,
Palliative Care,ICD9CM,V66.7,,,,,,,,,,,,,,,,
Palliative Care,ICD10CM,Z51.5,,,,,,,,,,,,,,,,
BMI LOINC Value,LOINC,39156-5,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,304549008,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,307818003,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,361231003,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,370847001,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,386291006,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,386292004,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,386373004,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,386463000,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,386464006,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,410177006,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,413315001,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,418995006,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,424753004,,,,,,,,,,,,,,,,
Above Normal Follow-Up,SNOMEDCT,443288003,,,,,,,,,,,,,,,,
Above Normal Follow-Up,ICD9CM,V65.3,,,,,,,,,,,,,,,,
Above Normal Follow-Up,ICD9CM,V65.41,,,,,,,,,,,,,,,,
Above Normal Follow-Up,ICD10CM,Z71.3,,,,,,,,,,,,,,,,
Above Normal Follow-Up,HCPCS,G8417,,,,,,,,,,,,,,,,
Above Normal Follow-Up,HCPCS,S9449,,,,,,,,,,,,,,,,
Above Normal Follow-Up,HCPCS,S9451,,,,,,,,,,,,,,,,
Above Normal Follow-Up,HCPCS,S9452,,,,,,,,,,,,,,,,
Above Normal Follow-Up,HCPCS,S9470,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43644,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43645,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43770,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43771,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43772,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43773,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43774,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43842,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43843,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43845,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43846,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43847,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,43848,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,97804,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,98960,,,,,,,,,,,,,,,,
Above Normal Follow-Up,CPT,99078,,,,,,,,,,,,,,,,
Below Normal Follow-Up,SNOMEDCT,386464006,,,,,,,,,,,,,,,,
Below Normal Follow-Up,SNOMEDCT,410177006,,,,,,,,,,,,,,,,
Below Normal Follow-Up,SNOMEDCT,413315001,,,,,,,,,,,,,,,,
Below Normal Follow-Up,SNOMEDCT,418995006,,,,,,,,,,,,,,,,
Below Normal Follow-Up,SNOMEDCT,424753004,,,,,,,,,,,,,,,,
Below Normal Follow-Up,SNOMEDCT,429095004,,,,,,,,,,,,,,,,
Below Normal Follow-Up,SNOMEDCT,443288003,,,,,,,,,,,,,,,,
Below Normal Follow-Up,ICD9CM,V65.3,,,,,,,,,,,,,,,,
Below Normal Follow-Up,ICD10CM,Z71.3,,,,,,,,,,,,,,,,
Below Normal Follow-Up,HCPCS,G8418,,,,,,,,,,,,,,,,
Below Normal Follow-Up,HCPCS,S9449,,,,,,,,,,,,,,,,
Below Normal Follow-Up,HCPCS,S9452,,,,,,,,,,,,,,,,
Below Normal Follow-Up,HCPCS,S9470,,,,,,,,,,,,,,,,
Screening Colonoscopy,CPT,45378,,,,,,,,,,,,,,,,
Screening Colonoscopy,HCPCS,G0105,,,,,,,,,,,,,,,,
Screening Colonoscopy,HCPCS,G0121,,,,,,,,,,,,,,,,
Screening Colonoscopy,ICD10CM,Z12.11,,,,,,,,,,,,,,,,
Colorectal Adenoma,ICD10CM,D12.0,,,,,,,,,,,,,,,,
Colorectal Adenoma,ICD10CM,D12.1,,,,,,,,,,,,,,,,
Colorectal Adenoma,ICD10CM,D12.2,,,,,,,,,,,,,,,,
Colorectal Adenoma,ICD10CM,D12.3,,,,,,,,,,,,,,,,
Colorectal Adenoma,ICD10CM,D12.4,,,,,,,,,,,,,,,,
Colorectal Adenoma,ICD10CM,D12.5,,,,,,,,,,,,,,,,
Colorectal Adenoma,ICD10CM,D12.6,,,,,,,,,,,,,,,,
Colorectal Adenoma,ICD10CM,D12.7,,,,,,,,,,,,,,,,
Colorectal Adenoma,ICD10CM,D12.8,,,,,,,,,,,,,,,,
Colorectal Adenoma,ICD10CM,D12.9,,,,,,,,,,,,,,,,
Colorectal Adenoma,ICD10CM,K63.5,,,,,,,,,,,,,,,,
Colorectal Adenocarcinoma,ICD10CM,C18.0,,,,,,,,,,,,,,,,
Colorectal Adenocarcinoma,ICD10CM,C18.1,,,,,,,,,,,,,,,,
Colorectal Adenocarcinoma,ICD10CM,C18.2,,,,,,,,,,,,,,,,
Colorectal Adenocarcinoma,ICD10CM,C18.3,,,,,,,,,,,,,,,,
Colorectal Adenocarcinoma,ICD10CM,C18.4,,,,,,,,,,,,,,,,
Colorectal Adenocarcinoma,ICD10CM,C18.5,,,,,,,,,,,,,,,,
Colorectal Adenocarcinoma,ICD10CM,C18.6,,,,,,,,,,,,,,,,
Colorectal Adenocarcinoma,ICD10CM,C18.7,,,,,,,,,,,,,,,,
Colorectal Adenocarcinoma,ICD10CM,C18.8,,,,,,,,,,,,,,,,
Colorectal Adenocarcinoma,ICD10CM,C18.9,,,,,,,,,,,,,,,,
Colorectal Adenocarcinoma,ICD9CM,154,,,,,,,,,,,,,,,,
Porter-Starke Tobacco Cessation Intervention,PS,Current Smoker-Quitline given,,,,,,,,,,,,,,,,
Porter-Starke Tobacco Cessation Intervention Refused,PS,Current Smoker-Quitline refused,,,,,,,,,,,,,,,,
Alcohol Non-User,SNOMEDCT,105542008,"Alcohol User ""No""",,,,,,,,,,,,,,,
Alcohol User,SNOMEDCT,219006,"Alcohol User ""Yes""",,,,,,,,,,,,,,,
Advance Directive Documented,SNOMEDCT,425392003,"Advance directive checkbox indicates ""Yes""",,,,,,,,,,,,,,,
Advance Directive Documented,CPT,99497,,,,,,,,,,,,,,,,
Advance Directive Refused,PS,Advancedirective_refused,"Advance directive checkbox indicates ""Patient refused""",,,,,,,,,,,,,,,
Overweight,SNOMEDCT,414916001,Obesity (disorder),,,,,,,,,,,,,,,
Overweight,SNOMEDCT,238131007,Overweight (finding),,,,,,,,,,,,,,,
Overweight,ICD9CM,278,,,,,,,,,,,,,,,,
Overweight,ICD9CM,278,,,,,,,,,,,,,,,,
Overweight,ICD9CM,278,,,,,,,,,,,,,,,,
Overweight,ICD9CM,278,,,,,,,,,,,,,,,,
Overweight,ICD9CM,278,,,,,,,,,,,,,,,,
Overweight,ICD9CM,278,,,,,,,,,,,,,,,,
Overweight,ICD9CM,278,,,,,,,,,,,,,,,,
Overweight,ICD9CM,278,,,,,,,,,,,,,,,,
Overweight,ICD9CM,278,,,,,,,,,,,,,,,,
Overweight,ICD9CM,279,,,,,,,,,,,,,,,,
Overweight,ICD10CM,E66.0,,,,,,,,,,,,,,,,
Overweight,ICD10CM,E66.1,,,,,,,,,,,,,,,,
Overweight,ICD10CM,E66.2,,,,,,,,,,,,,,,,
Overweight,ICD10CM,E66.3,,,,,,,,,,,,,,,,
Overweight,ICD10CM,E66.8,,,,,,,,,,,,,,,,
Overweight,ICD10CM,E66.9,,,,,,,,,,,,,,,,
Underweight,ICD10CM,R63.6,,,,,,,,,,,,,,,,
Underweight,ICD9CM,783,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD9CM,305,Nondependent alcohol user,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD9CM,304,Dependent alcohol user,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.10,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.120,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.121,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.129,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.150,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.151,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.159,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.180,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.181,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.182 ,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.188,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.19,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.20,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.21,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.220,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.221,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.229,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.230,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.231,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.232,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.239,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.24,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.250,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.251,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.259,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.26,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.27,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.280 ,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.281,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.282,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.288,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.29,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.920,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.921,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.929,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.94,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.950,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.951,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.959,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.96,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.97 ,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.980,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.981,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.982,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.988,,,,,,,,,,,,,,,,
Unhealthy Alcohol User,ICD10CM,F10.99,,,,,,,,,,,,,,,,
Pre-hypertension,ICD9CM,796,,,,,,,,,,,,,,,,
Pre-hypertension,ICD10CM,R03.0,,,,,,,,,,,,,,,,
Medication reconciliation,SNOMEDCT,430193006,,,,,,,,,,,,,,,,
Other Thienopyridine Agent,RXNORM,313406,,,,,,,,,,,,,,,,
Other Thienopyridine Agent,RXNORM,855812,,,,,,,,,,,,,,,,
Other Thienopyridine Agent,RXNORM,855818,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,1537021,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,198466,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,198467,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,198471,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,198475,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,198477,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,199274,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,212033,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,243670,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,308409,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,308411,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,308414,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,308416,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,308417,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,309362,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,318272,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,349516,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,646434,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,747211,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,749196,,,,,,,,,,,,,,,,
Aspirin and Clopidogrel,RXNORM,853499,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99201,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99202,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99203,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99204,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99205,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99212,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99213,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99214,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99215,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99341,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99342,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99343,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99344,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99345,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99347,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99348,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99349,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99350,,,,,,,,,,,,,,,,
MIPS Encounter 238,HCPCS, G0438,,,,,,,,,,,,,,,,
MIPS Encounter 238,HCPCS, G0439,,,,,,,,,,,,,,,,
Urinary Incontinence Assessment,SNOMEDCT,252908007,,,,,,,,,,,,,,,,
Urinary Incontinence Assessment,SNOMEDCT,704075006,,,,,,,,,,,,,,,,
Summary of Care,SNOMEDCT,429000000000000,Documentation of care summary ,,,,,,,,,,,,,,,
Transfer Document,LOINC,18761-7,Provider-unspecified Transfer summary,,,,,,,,,,,,,,,
Transfer Document,LOINC,28616-1,Physician Transfer note,,,,,,,,,,,,,,,
Transfer Document,LOINC,28651-8,Nurse Transfer note,,,,,,,,,,,,,,,
Transfer Document,LOINC,34755-9,Critical care medicine Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,34770-8,General medicine Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68482-9,Nurse Hospital Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68565-1,Obstetrics and Gynecology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68569-3,Occupational therapy Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68583-4,Orthopaedic surgery Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68596-6,Plastic surgery Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68618-8,Adolescent medicine Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68632-9,Allergy and immunology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68647-7,Child and adolescent psychiatry Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68660-0,Clinical genetics Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68669-1,Developmental-behavioral pediatrics Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68680-8,Multi-specialty program Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68704-6,Neurology with special qualifications in child neurology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68715-2,Pain medicine Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68726-9,Pediatric cardiology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68737-6,Pediatric endocrinology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68745-9,Pediatric gastroenterology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68756-6,Pediatric hematology-oncology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68764-0,Pediatric infectious diseases Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68772-3,Pediatric nephrology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68777-2,Pediatric otolaryngology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68786-3,Pediatric pulmonology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68793-9,Pediatric rheumatology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68801-0,Pediatric surgery Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68811-9,Pediatric urology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68863-0,Pediatric transplant hepatology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68883-8,Pediatrics Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68884-6,Pediatrics Hospital Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,68887-9,Ophthalmology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,77406-7,Anesthesiology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,77414-1,Cardiology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78340-7,Colon and rectal surgery Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78341-5,Emergency department Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78488-4,Mental health Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78489-2,Neonatal perinatal medicine Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78490-0,Nephrology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78491-8,Neurology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78492-6,Neurological surgery Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78493-4,Oncology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78502-2,Cardiopulmonary Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78680-6,Vascular surgery Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78681-4,Cardiothoracic surgery Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78682-2,Palliative care Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78683-0,Transplant surgery Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78684-8,Oral and Maxillofacial Surgery Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78729-1,Surgery Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,78736-6,Urology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,80580-4,Cardiac surgery Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,80735-4,Otolaryngology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,80808-9,Surgical oncology Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,80816-2,Geriatric medicine Transfer summary note,,,,,,,,,,,,,,,
Transfer Document,LOINC,81221-4,Transfer summary note - recommended C-CDA R2.0 sections,,,,,,,,,,,,,,,
Transfer Document,LOINC,81614-0,Transfer summary note - recommended C-CDA R2.1 sections,,,,,,,,,,,,,,,
Transfer Document,LOINC,LP212259-8,Transfer summary note - recommended C-CDA R2.0 sections,,,,,,,,,,,,,,,
Transfer Document,LOINC,LP212493-3,Transfer summary note - recommended C-CDA R2.1 sections,,,,,,,,,,,,,,,
Transfer Document,LOINC,LP73546-1,Transfer summary note,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,174351000,Educational session with patient (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,226013008,Educating patient in reason for their specific care (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,311401005,Patient education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,108247002,Visual correction training AND/OR re-education procedure (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,113145005,"Biofeedback training in conduction disorder, arrhythmia (regime/therapy)",,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,113155009,Myocardial infarction education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,11581009,Swinging transfer training (regime/therapy),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,11816003,Diet education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,118629009,Functional training (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,11924009,Orthotics training of upper extremities (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,12569007,"Biofeedback, regulation of blood pressure (regime/therapy)",,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,135885005,Impotence education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,135892000,Antenatal education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,1453000,"Biofeedback, galvanic skin response (regime/therapy)",,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,15502008,Wound treatment education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,16311004,Condom use education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,170884001,Trial without catheter (regime/therapy),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,170961007,Menopause dietary education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,170962000,Menopause sexual education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171010005,Colostomy education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171012002,Pre-pregnancy education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171027002,Contraceptive implant education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171040007,Cervical cytology education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171044003,Immunization education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171047005,Drugs of addiction education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171053005,Infant feeding education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171054004,Pregnancy diet education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171055003,Pregnancy smoking education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171056002,Pregnancy exercise education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171057006,Pregnancy alcohol education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171058001,Drugs in pregnancy education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171059009,Pregnancy dental education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171060004,Maternity grant education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171061000,Maternity benefit education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171062007,Maternity milk and vitamins education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171063002,Pregnancy prescription exemption education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171064008,Mothercraft education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171071003,Foreign travel education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171074006,Requires protection against malaria (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171075007,Cholera outbreak education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171076008,Rabies outbreak education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171077004,Meningitis outbreak education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171078009,Malaria outbreak education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,17120007,"Biofeedback, strain gage (regime/therapy)",,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,17629007,Prenatal care education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183053008,Over-the-counter medication education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183057009,Gluten-free diet education (procedure),,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183058004,Phenylalanine-free diet education (procedure),,,,,,,,,,,,,,,
